Rank,Pos Rank,Grade,Player Name,Positon,Weight,Height,Forty Time,School,Class,Player Notes
1,,,T.J. Parker,EDGE,265,"6'3""",,Clemson,JR,
2,,,Francis Mauigoa,OT,315,"6'6""",,Miami (FL),JR,
3,,,Caleb Downs,S,205,"6'0""",,Ohio State,JR,
4,,,Garrett Nussmeier,QB,200,"6'2""",,LSU,RSR,
5,,,Peter Woods,DL3T,315,"6'3""",,Clemson,JR,
6,,,Anthony Hill Jr.,ILB,235,"6'3""",,Texas,JR,
7,,,Rueben Bain Jr.,EDGE,275,"6'3""",,Miami (FL),JR,
8,,,Keldric Faulk,DL5T,288,"6'5""",,Auburn,JR,
9,,,Jermod McCoy,CB,193,"5'11""",,Tennessee,JR,
10,,,Spencer Fano,OT,304,"6'5""",,Utah,JR,
11,,,Drew Allar,QB,235,"6'5""",,Penn State,SR,
12,,,Jeremiyah Love,RB,210,"6'0""",,Notre Dame,JR,
13,,,Carnell Tate,WR,191,"6'1""",,Ohio State,JR,
14,,,Suntarine Perkins,EDGE,220,"6'1""",,Ole Miss,JR,
15,,,Matayo Uiagalelei,EDGE,270,"6'4""",,Oregon,JR,
16,,,Christen Miller,DL3T,305,"6'4""",,Georgia,RJR,
17,,,Cade Klubnik,QB,210,"6'2""",,Clemson,SR,
18,,,Dillon Thieneman,S,207,"6'0""",,Oregon,JR,
19,,,Jordyn Tyson,WR,195,"6'1""",,Arizona State,RJR,
20,,,LaNorris Sellers,QB,242,"6'2""",,South Carolina,RSO,
21,,,Dani Dennis-Sutton,EDGE,266,"6'4""",,Penn State,SR,
22,,,Avieon Terrell,CBN,180,"5'11""",,Clemson,JR,
23,,,Trevor Goosby,OT,309,"6'7""",,Texas,RSO,
24,,,L.T. Overton,DL5T,283,"6'4""",,Alabama,SR,
25,,,Nick Singleton,RB,226,"6'0""",,Penn State,SR,
26,,,Isaiah World,OT,309,"6'8""",,Oregon,RSR,
27,,,Deontae Lawson,ILB,239,"6'2""",,Alabama,RSR,
28,,,Malik Muhammad,CB,190,"6'0""",,Texas,JR,
29,,,A.J. Harris,CB,193,"6'1""",,Penn State,JR,
30,,,Arch Manning,QB,225,"6'4""",,Texas,RSO,
31,,,Kadyn Proctor,OT,369,"6'6""",,Alabama,JR,
32,,,Caleb Lomu,OT,302,"6'5""",,Utah,RSO,
33,,,Antonio Williams,WR,190,"5'11""",,Clemson,RJR,
34,,,Gabe Jacas,EDGE,275,"6'2""",,Illinois,SR,
35,,,Kevin Concepcion,WR,187,"5'11""",,Texas A&M,JR,
36,,,John Mateer,QB,219,"6'1""",,Oklahoma,RJR,
37,,,Tyreak Sapp,DL5T,275,"6'3""",,Florida,RSR,
38,,,Austin Barber,OT,314,"6'5""",,Florida,RSR,
39,,,David Bailey,EDGE,250,"6'3""",,Texas Tech,SR,
40,,,C.J. Allen,OLB,235,"6'1""",,Georgia,JR,
41,,,Denzel Boston,WR,209,"6'3""",,Washington,RJR,
42,,,D.J. McKinney,CB,190,"6'2""",,Colorado,RJR,
43,,,Aaron Anderson,WRS,187,"5'8""",,LSU,RJR,
44,,,Darrell Jackson Jr.,DL1T,330,"6'5""",,Florida State,RSR,
45,,,Carson Beck,QB,220,"6'4""",,Miami (FL),RSR,
46,,,Caleb Banks,DL1T,325,"6'6""",,Florida,RSR,
47,,,Jake Slaughter,OC,308,"6'5""",,Florida,RSR,
48,,,Sam Leavitt,QB,200,"6'2""",,Arizona State,RSO,
49,,,Harold Perkins Jr.,OLB,225,"6'1""",,LSU,SR,
50,,,Taurean York,ILB,235,"5'11""",,Texas A&M,JR,
51,,,Jyaire Hill,CB,185,"6'1""",,Michigan,RSO,
52,,,Eric Singleton Jr.,WRS,190,"5'10""",,Auburn,JR,
53,,,Tacario Davis,CB,190,"6'3""",,Washington,SR,
54,,,Makai Lemon,WR,190,"5'11""",,USC,JR,
55,,,Cayden Green,OT,320,"6'5""",,Missouri,JR,
56,,,Jalon Kilgore,S,219,"6'1""",,South Carolina,JR,
57,,,D'Angelo Ponds,CBN,170,"5'9""",,Indiana,JR,
58,,,Nyck Harbor,WR,235,"6'5""",,South Carolina,JR,
59,,,Eli Stowers,TE,235,"6'4""",,Vanderbilt,RSR,
60,,,Kamari Ramsey,S,204,"6'0""",,USC,RJR,
61,,,Jonah Coleman,RB,229,"5'9""",,Washington,SR,
62,,,Domani Jackson,CB,201,"6'1""",,Alabama,SR,
63,,,Daylen Everette,CB,190,"6'1""",,Georgia,SR,
64,,,Fernando Mendoza,QB,225,"6'5""",,Indiana,RJR,
65,,,Justice Haynes,RB,210,"5'10""",,Michigan,JR,
66,,,Mansoor Delane,CB,187,"6'1""",,LSU,SR,
67,,,Ipani Laloulu,OC,325,"6'2""",,Oregon,JR,
