"potential_rank,player_name,position,weight_lbs,height,forty_time,school,class,source"
"1,LaNorris Sellers,QB,242,6-3,4.62,South Carolina,Sophomore,""NFLDraftBuzz (LaNorris Sellers profile) - turn4search1"""
"2,Garrett Nussmeier,QB,200,6-2,4.82,LSU,Senior,""NFLDraftBuzz (Garrett Nussmeier profile) - turn6search0; LSU roster - turn6search5"""
"3,Drew Allar,QB,235,6-5,4.90,Penn State,Senior,""Penn State roster / profiles - turn4search12; Sportskeeda - turn4search4"""
"4,Cade Klubnik,QB,210,6-2,4.65,Clemson,Sophomore,""ESPN profile / Sportskeeda - turn4search5"""
"5,Carson Beck,QB,220,6-4,4.84,Miami (FL),Senior,""NFLDraftBuzz (Carson Beck profile) - turn4search3; Wikipedia - turn4search11"""
"6,Fernando Mendoza,QB,225,6-5,4.85,Indiana,Junior,""NFLDraftBuzz (Fernando Mendoza profile) - turn4search2"""
"7,Arch Manning,QB,219,6-4,,Texas,Redshirt Sophomore,""FoxSports / Wikipedia - turn3view0; turn4search6"""
"8,Sam Leavitt,QB,205,6-2,,Arizona State,Sophomore,""ESPN player profile - turn4search7"""
"9,John Mateer,QB,224,6-1,,Oklahoma,Redshirt Junior,""Oklahoma roster / ESPN - turn5search0; turn5search7"""
"10,Taylen Green,QB,235,6-5,4.77,Arkansas,Senior,""FoxSports listing, ESPN combine stats - turn3view0; turn5search1; turn5search8"""
"11,Rocco Becht,QB,210,6-1,,Iowa State,Redshirt Junior,""ESPN / Iowa State roster - turn5search2; turn5search9"""
"12,Jayden Maiava,QB,230,6-4,,USC,Junior,""FoxSports listing / ESPN - turn3view0; turn5search10"""
"13,Nico Iamaleava,QB,215,6-6,4.75,UCLA,Sophomore,""NFLDraftBuzz (Nico Iamaleava profile) - turn5search4; ESPN profile - turn5search11"""
"14,Luke Altmyer,QB,215,6-2,,Illinois,Senior,""Illinois roster - turn5search12"""
"15,Sawyer Robertson,QB,220,6-4,,Baylor,Junior,""ESPN / 247Sports - turn5search6; turn5search13"""
